아파트코드,아파트명,평형(공용),전용,방수,화장실수,드레스룸,다용도실,테라스,평면도 주소
A13813002,오금우방,127,102,3,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_54/land_system_13274163388573ODTK_JPEG/117_3756_5_128_GA1_1286519442085.jpg?type=m562
A13813002,오금우방,144,114,4,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_123/land_system_1327416340842tCSDg_JPEG/117_3756_6_142_GA1_1286519490305.jpg?type=m562
A13813003,오금삼성,93,73,3,1,0,0,,https://landthumb-phinf.pstatic.net/20120124_297/land_system_1327416300834LvlVe_JPEG/117_627_1_92_GA1_1286518959516.jpg?type=m562
A13813003,오금삼성,105,84,3,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_56/land_system_1327416302939YlFcm_JPEG/117_627_2_105_GA1_1286518984860.jpg?type=m562
A13813004,가락상아1차,126,106,4,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_123/land_system_13274163071514MNPm_JPEG/117_629_2_132_GA1_1286519016663.jpg?type=m562
A13813004,가락상아1차,145,122,4,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_105/land_system_1327416309190yugp7_JPEG/117_629_3_148_GA1_1286519042727.jpg?type=m562
A13813005,가락우창,93,76,3,1,0,0,,https://landthumb-phinf.pstatic.net/20120124_42/land_system_1327416342958wja6t_JPEG/117_631_1_95_GA1_1286519530519.jpg?type=m562
A13813005,가락우창,129,109,4,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_29/land_system_1327416344827yKALT_JPEG/117_631_2_132_GA1_1286519547733.jpg?type=m562
A13813005,가락우창,154,132,5,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_94/land_system_1327416346847hhqD3_JPEG/117_631_3_161_GA1_1286519566075.jpg?type=m562
A13813006,오금현대백조,102,78,3,2,0,0,,https://landthumb-phinf.pstatic.net/20210621_258/land_naver_1624243084795bBqw5_JPEG/6332202106211138044471250621113804539000000.jpg?type=m562
A13813006,오금현대백조,103,78,3,2,0,0,,https://landthumb-phinf.pstatic.net/20130313_158/hscp_img_1363163483371Bq9eq_JPEG/photoinfra_1363163483134.jpg?type=m562
A13813006,오금현대백조,104,80,3,2,0,0,,https://landthumb-phinf.pstatic.net/20191211_43/hscp_img_1576032645162wzAC0_JPEG/photoinfra_1576032644950.jpg?type=m562
A13813006,오금현대백조,110,84,3,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_153/land_system_1327416361415FDnde_JPEG/117_633_4_109_GA1_1286519738448.jpg?type=m562
A13813006,오금현대백조,140,114,4,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_278/land_system_132741636341799Hmu_JPEG/117_633_5_138_GA1_1286519755637.jpg?type=m562
A13813008,오금대림,103,84,3,1,0,0,,https://landthumb-phinf.pstatic.net/20120124_282/land_system_1327416296382Rv6CN_JPEG/117_626_1_102_GA1_1286518924150.jpg?type=m562
A13813008,오금대림,145,125,4,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_23/land_system_1327416298702VdXSn_JPEG/117_626_2_145_GA1_1286518940224.jpg?type=m562
A13886009,상아2차아파트,64,45,2,1,0,0,,https://landthumb-phinf.pstatic.net/20120124_84/land_system_1327416311087zIhGr_JPEG/117_628_1_62_GA1_1286519066715.jpg?type=m562
A13886009,상아2차아파트,82,60,2,1,0,0,,https://landthumb-phinf.pstatic.net/20120124_272/land_system_1327416315025P4OD7_JPEG/117_628_3_82_GA1_1286519171160.jpg?type=m562
A13886009,상아2차아파트,104,84,3,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_174/land_system_1327416317213il4Ua_JPEG/117_628_4_105_GA1_1286519184983.jpg?type=m562
A13813010,오금현대아파트,102,84,3,1,0,0,,https://landthumb-phinf.pstatic.net/20120124_282/land_system_1327416348832dohEw_JPEG/117_632_1_102_GA1_1286519601839.jpg?type=m562
A13813010,오금현대아파트,193,170,5,2,0,0,,https://landthumb-phinf.pstatic.net/20120124_108/land_system_13274163550829Hl7v_JPEG/117_632_4_195_GA1_1286519661882.jpg?type=m562
A10026734,송파레미니스아파트,88,59,3,2,0,0,,https://landthumb-phinf.pstatic.net/20170421_88/hscp_img_1492751858717cMBNN_JPEG/photoinfra_1492751858480.jpg?type=m562
